cluster_id,author_label,annotation,state,CL_term,CL_term_id,confidence,author_label_similarity_score
1,0,Neutrophil-Like Granulocyte,"activated, antimicrobial",neutrophil,CL_0000775,Moderate,
2,1,T Cell,"tissue-resident, regeneration-adapted","CD8-positive, alpha-beta memory T cell",CL_0000909,High,
3,2,Phagocytic Macrophage,"Activated, phagocytic, tissue-remodeling",lipid-associated macrophage,CL_4033086,High,
4,3,Macrophage,activated,splenic marginal zone macrophage,CL_0000872,High,
5,4,Fibroblast,"activated, ECM-producing",fibroblast,CL_0000057,Moderate,
6,5,Macrophage,"mature, predominantly non-proliferating with minor proliferative subset (~14-22%)",tissue-resident macrophage,CL_0000864,High,
7,6,Keratinocyte,wound healing,keratinocyte,CL_0000312,High,
8,7,B Cell,developing,B cell,CL_0000236,Moderate,
9,8,Tissue-Resident Macrophage,"activated, non-proliferative",TREM2-positive macrophage,CL_4047053,Moderate,
10,9,Erythroid Precursor Cell,"proliferating, stressed",erythroid progenitor cell,CL_0000038,High,
11,10,Granulocyte,"mature, regeneration-associated",granulocyte,CL_0000094,High,
12,11,Naive T Cell,quiescent,naive T cell,CL_0000898,High,
13,12,NK-like T Cell,tissue-resident,"CD8-positive, alpha-beta cytotoxic T cell",CL_0000794,Moderate,
14,13,Proliferating Thymocyte,Proliferating,double-positive blast,CL_0002428,Moderate,
15,14,Plasma Cell,antibody-secreting,plasma cell,CL_0000786,High,
16,15,Natural Killer Cell,immature/regeneration-associated,mature natural killer cell,CL_0000824,Moderate,
17,16,Mast Cell,tissue-resident,mast cell,CL_0000097,High,
18,17,Osteoclast,"terminally differentiated, metabolically active",osteoclast,CL_0000092,Moderate,
19,18,CD8+ T Cell,Exhausted/Regulatory,"CD8-positive, alpha-beta regulatory T cell",CL_0000795,High,
20,19,Fibroblast,"activated, ECM-producing, regeneration-associated",skeletal muscle fibroblast,CL_0011027,Moderate,
21,20,Perforin+ Cytotoxic Cell,proliferating,cytotoxic T cell,CL_0000910,High,
